PRICE,DEPRE_VALUE_PER_YEAR,MILEAGE_KM,DEREG_VALUE_FROM_SCRAPE_DATE,OMV,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,CAR_AGE,POST_AGE,TRANSMISSION,VEHICLE_TYPE_Hatchback,VEHICLE_TYPE_Luxury Sedan,VEHICLE_TYPE_MPV,VEHICLE_TYPE_Mid-Sized Sedan,VEHICLE_TYPE_Others,VEHICLE_TYPE_SUV,VEHICLE_TYPE_Sports Car,VEHICLE_TYPE_Stationwagon,CAR_CATEGORY_ECONOMY,CAR_CATEGORY_EXOTIC,CAR_CATEGORY_LUXURY,CAR_CATEGORY_MID_LEVEL,CAR_CATEGORY_OTHERS,CAR_CATEGORY_ULTRA_LUXURY
80800.0,10.022159082253626,11.703545824578878,10.856919914690904,10.877273308257394,10.913632859881908,762.0,7.596392304064196,7.426549072397305,2.0,9.0,20,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
130800.0,9.947025854550612,10.275051108968611,10.732214027337896,10.335269968961667,10.488659691430774,1976.0,7.494430215031565,7.265429723253953,2.0,6.0,65,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
222800.0,10.292145542327912,10.325481962595504,11.01569040305607,10.53412082770683,10.604131561522696,2466.0,7.821242083523558,7.560080465021827,2.0,5.0,13,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
98800.0,9.626415659196363,12.358793732547838,9.992871113670814,10.588627762694157,10.421328511196023,2375.0,7.592870287844818,7.387090235656757,3.0,14.0,20,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
88000.0,9.658864969544794,11.695247021764184,10.346119984985732,9.853771960290196,10.42492665356173,1827.0,7.599901959208498,7.323170717943469,2.0,6.0,25,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
87800.0,9.52806656577634,11.719939634354555,9.97375960552146,10.656600314263507,10.421328511196023,2311.0,7.592870287844818,7.346010209913293,5.0,14.0,48,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
124800.0,9.845328638362595,10.566175525611365,10.589232403329312,10.133408088129361,10.3958945907781,1834.0,7.374629015218945,7.268920128193722,1.0,5.0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
116800.0,9.547526639331053,9.818855161695424,10.752676480869548,9.766292313358283,10.872541497937167,2955.0,6.903747257584598,6.877296071497429,1.0,3.0,20,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
60800.0,9.438272440022189,11.289781913656018,9.933822752332201,9.03741453682259,10.39509977537798,1641.0,7.221105098182496,7.016609683894219,1.0,6.0,6,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
99800.0,10.341097113970859,11.507912923146684,10.600352812464484,10.491885141897002,10.966524475690317,914.0,7.599401333415815,7.247792581767846,4.0,8.0,8,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
107800.0,9.5302475917227,10.51867319162636,10.590717259332036,9.908276069267925,10.757902880692196,2765.0,7.310550158534422,7.029972911706386,1.0,5.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
98500.0,9.684709458731557,11.314474526246391,10.511131309482133,10.007126587295614,10.488659691430774,1953.0,7.599901959208498,7.323170717943469,1.0,6.0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
196000.0,10.131419620582134,10.545341438708522,11.120741767167978,10.535184770779852,10.809727948556782,2197.0,7.585281078639126,7.485491608030754,1.0,5.0,8,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
54999.0,9.950848123895966,11.571194373094205,10.318704952086971,10.474918974411978,10.970075836179038,635.0,7.374629015218945,7.261927092702751,2.0,9.0,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35800.0,9.702594610156739,11.800357506166801,9.917094555942345,10.038717501796231,11.018629143155449,583.0,7.374629015218945,7.240649694255466,2.0,9.0,17,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
