Reviews
I have brought our cars here for many years and their services are excellent. They have a lot of honor and integrity and won't charge overcharge you. They also have another branch in Kaki Bukit. I have been to both. Will continue using their services for many years to come.
"Was served by Tony and he was very attentive to the details and issues the car was facing. Price might be a little steep, so do negotiate for a better deal. Other than that, the workmanship of repairs is well done."
"Nice workshop and friendly staff. First time there and was a bit blur on the process. Staff Kingston was helpful, assisted and guided me along. Thank you."
Well done Cartimes Autolution. My servicing was attended by Eddie. Eddie did a great job.Servicing was done without any issue and with my full satisfaction on the job well done. Their customers service personnels were also very polite and …
Impressed at the high level of service provided by the team. Knowledgeable and honest opinions given by the team. Highly desirable in the industry. Keep it up guys!
"Swift service, go the extra mile to check and fix little things, but never try to upsell you on further services. They are also very friendly and approachable."
"Had some issues with our vehicle & was looking for help, there is this guy bernard assisted us patiently and it was ready within a day!"
Good customer services with affordable pricing model. Satisfied customer so far.
One of the best car servicing which I ever come across and also very professional In helping owner to know and understand th car even better.......very good service in mechanic and office personal especially summer.
Fast excellent service centre. Friendly staff who gives advice accordingly to your needs
"Honest and reliable mechanic, will check and recommend only what needs to be fix."
"Kingston, the service advisor provide good service and best recommendations."
Good workshop to service your vehicle. Nice reception area to wait around
Good service and fast service.The staff was friendly and helpful.
Great service and issue fixed in short time
"Excellent service, Great environment."
Good service and staff is friendly.
"Excellent great job very receptive admin officers Summer, jiaxian."
Great environment and Great service..!!! Keep it up Bernand..!!!
Professional & good service. Thank you.
Good service and all staff very helpful 👍 …
Fast and quick service. Highly recommend.
Good service. Will come again
Great service and reliable workshop👍 …
Efficient and good pricing for car maintenance.
Very helpful and responsive to driver's queries.
Great service with professional team
Quick and friendly staff to assist! 👍🏻👍🏻👍🏻 …
"Their car servicing is a joke. 1/2 hour car servicing. Didn’t perform to what was instructed. After my final car servicing with cartimes, I’ve sent my car to an external legitimate workshop. Im horrified to learn the oil has never been …"
"Great services, recommended."
Nice place to rest while waiting for car to be ready
Great and fast service.
Detailed in explaining what need to be change
"Excellent team of customer service and I spoke to the manager on duty before, he’s very knowledgeable and polite too. I’m willing to travel to sinming for my car servicing although I stay v far away from sinming."
Fast and friendly service!
Great service as always
Well done service 👏 …
Detailed explanation on the car maintenance.
Good service and friendly staff
Never a disappointment as the ‘manager in charge’ is always smiling and makes me feel at ease whenever I leave my car for regular servicing.
"Unlike JackCars, CarTimes service is only.. service. they don't bother cleaning your car etc. No concierge area either. Pure basic. Service wise no complains, ok."
Fast n good
Very good servicing
Very good
V good service
Good service!!
Do not recommend their car servicing.
Good awesome
Fast and efficient
Good
Normal car servicing. Has a room upstairs with TV for customers to wait.
Good
Friendly and professional. Will be back to service the car.
Professional workmanship. Reasonable price.
Free servicing and good 👍👍 …
Nice ppl
Well organised car service centre.
Unprofessional and Unethical
The service was excellent
