,LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE,POST_DATE
24,https://www.sgcarmart.com/used_cars/info.php?ID=1250781&DL=4140&utm_content=SLeligible,Hyundai,74800,17310,18-Apr-2017,95000,2017,2126,Auto,40232,26/01/2024,32842,37979,48209,1157,2199,2003,1,,04-Jan-2024
25,https://www.sgcarmart.com/used_cars/info.php?ID=1217770&DL=1399&utm_content=SLeligible,Nissan,76800,10700,11-Apr-2011,176714,2011,965,Auto,29726,26/01/2024,21602,21602,41397,2620,1598,1210,,SUV,07-Jan-2024
26,https://www.sgcarmart.com/used_cars/info.php?ID=1265727&DL=1213,Toyota,110800,18190,01-Feb-2019,42177,2018,1784,Auto,46313,26/01/2024,33574,39004,33989,1830,2487,1545,1,Luxury Sedan,22-Jan-2024
27,https://www.sgcarmart.com/used_cars/info.php?ID=1251293&DL=2339&utm_content=SLeligible,Renault,46800,14040,24-Mar-2017,95000,2016,1048,Auto,18851,26/01/2024,19990,5000,49430,1130,1461,1320,2,,19-Jan-2024
28,https://www.sgcarmart.com/used_cars/info.php?ID=1247256&DL=4449&utm_content=SLeligible,BMW,170000,31510,26-May-2017,74000,2017,2384,Auto,102270,26/01/2024,87886,130195,53001,1194,2998,1770,2,Luxury Sedan,14-Jan-2024
29,https://www.sgcarmart.com/used_cars/info.php?ID=1234179&DL=1000&utm_content=SLeligible,Opel,51500,15500,28-Nov-2016,85000,2016,626,Auto,25183,26/01/2024,20004,15006,57002,731,1399,1233,2,Hatchback,22-Dec-2023
30,https://www.sgcarmart.com/used_cars/info.php?ID=1260319&DL=4473,Mercedes-Benz,222888,21480,31-May-2023,6500,2022,586,Auto,120503,26/01/2024,37235,44129,93503,3409,1332,1550,1,SUV,12-Jan-2024
31,https://www.sgcarmart.com/used_cars/info.php?ID=1250871&DL=2199&utm_content=SLeligible,Honda,91800,16320,03-Jul-2019,26188,2019,578,Auto,20971,26/01/2024,16213,6213,30009,1981,1318,1052,1,Hatchback,13-Jan-2024
32,https://www.sgcarmart.com/used_cars/info.php?ID=1256361&DL=2757&utm_content=SLeligible,Mazda,155800,17410,23-May-2022,19000,2021,1210,Auto,88217,26/01/2024,21251,21752,91112,3016,1998,1576,1,SUV,21-Jan-2024
33,https://www.sgcarmart.com/used_cars/info.php?ID=1230952&DL=1120&utm_content=SLeligible,Mercedes-Benz,64800,13950,17-Sep-2008,,2008,3573,Auto,15500,26/01/2024,82936,82936,33377,1671,2997,1850,5,Luxury Sedan,20-Jan-2024
34,https://www.sgcarmart.com/used_cars/info.php?ID=1247941&DL=2051&utm_content=SLeligible,Jaguar,144800,25980,15-Jun-2017,90000,2017,2380,Auto,92559,26/01/2024,78758,113765,55000,1224,2995,1856,2,SUV,20-Jan-2024
35,https://www.sgcarmart.com/used_cars/info.php?ID=1241499&DL=3911&utm_content=SLeligible,Mercedes-Benz,115800,19040,30-May-2019,66000,2018,740,Auto,40722,26/01/2024,25822,28151,36704,1948,1595,1435,1,SUV,19-Jan-2024
36,https://www.sgcarmart.com/used_cars/info.php?ID=1182242&DL=1189&utm_content=SLeligible,SEAT,112800,14030,22-Oct-2021,20000,2021,392,Auto,47120,26/01/2024,22452,8433,52709,2800,999,1210,1,SUV,22-Jan-2024
37,https://www.sgcarmart.com/used_cars/info.php?ID=1265249&DL=3730,Toyota,29800,28420,28-Aug-2014,,2014,1196,Auto,17418,26/01/2024,31626,26277,72990,211,1986,1610,2,SUV,25-Jan-2024
38,https://www.sgcarmart.com/used_cars/info.php?ID=1257228&DL=3426&utm_content=SLeligible,Nissan,,,30-Sep-2020,,2020,802,Auto,,26/01/2024,29949,23929,40989,2433,1198,1758,1,,20-Dec-2023
39,https://www.sgcarmart.com/used_cars/info.php?ID=1260201&DL=2191&utm_content=SLeligible,Lexus,87800,17230,14-Sep-2009,,2009,2700,Auto,16273,26/01/2024,38495,38495,31933,1857,2500,1625,6,Luxury Sedan,14-Jan-2024
40,https://www.sgcarmart.com/used_cars/info.php?ID=1261428&DL=4398,Citroen,48788,12780,02-Aug-2017,,2016,1144,Auto,20074,26/01/2024,21955,7737,42801,1281,1560,1320,2,,06-Jan-2024
41,https://www.sgcarmart.com/used_cars/info.php?ID=1265092&DL=4614,BMW,108800,21460,28-Aug-2017,130500,2017,1210,Auto,59682,26/01/2024,50933,63680,51000,1306,1998,1540,2,Luxury Sedan,19-Jan-2024
42,https://www.sgcarmart.com/used_cars/info.php?ID=1184508&DL=3837&utm_content=SLeligible,Porsche,108888,23770,25-Aug-2008,80000,2008,4488,Auto,16029,26/01/2024,80518,80518,34991,1649,3387,1410,,Sports Car,20-Jan-2024
43,https://www.sgcarmart.com/used_cars/info.php?ID=1252828&DL=1015&utm_content=SLeligible,Hyundai,172800,20720,03-Sep-2021,32123,2021,742,Auto,65503,26/01/2024,27463,30449,56100,2772,1598,1500,1,SUV,31-Dec-2023
44,https://www.sgcarmart.com/used_cars/info.php?ID=1220912&DL=1433&utm_content=SLeligible,Lexus,76800,21450,18-Jul-2016,128000,2016,1210,Auto,42332,26/01/2024,39616,47463,56000,881,1998,1700,4,SUV,02-Jan-2024
45,https://www.sgcarmart.com/used_cars/info.php?ID=1227262&DL=1238,Volkswagen,18800,14920,25-May-2010,141000,2010,868,Auto,4143,26/01/2024,23882,23882,16438,459,1390,1285,4,Sports Car,18-Jan-2024
46,https://www.sgcarmart.com/used_cars/info.php?ID=1261719&DL=2823,Mercedes-Benz,56588,16570,22-Nov-2016,96000,2016,740,Auto,26860,26/01/2024,23345,19683,53334,1006,1595,1395,3,Hatchback,19-Jan-2024
47,https://www.sgcarmart.com/used_cars/info.php?ID=1248895&DL=4369&utm_content=SLeligible,Subaru,68888,14480,29-Oct-2008,139000,2008,1809,Auto,15361,26/01/2024,25958,25958,32279,1732,1994,1390,5,Hatchback,21-Jan-2024
48,https://www.sgcarmart.com/used_cars/info.php?ID=1231968&DL=2705&utm_content=SLeligible,Mercedes-Benz,213500,25980,20-Nov-2020,59000,2020,1202,Auto,82296,26/01/2024,55921,72658,40790,2464,1991,1590,2,Sports Car,26-Jan-2024
49,https://www.sgcarmart.com/used_cars/info.php?ID=1249087&DL=3079&utm_content=SLeligible,Jeep,205388,33140,29-Jun-2019,54795,2019,1208,Auto,61548,26/01/2024,42341,51278,42564,1977,1995,2123,4,SUV,19-Jan-2024
50,https://www.sgcarmart.com/used_cars/info.php?ID=1228424&DL=1061&utm_content=SLeligible,Toyota,95500,15820,08-Feb-2010,120000,2009,2293,Auto,22989,26/01/2024,32589,32589,38071,2192,2362,1710,3,MPV,14-Jan-2024
51,https://www.sgcarmart.com/used_cars/info.php?ID=1264494&DL=2515&utm_content=SLeligible,Mitsubishi,57888,11340,04-Mar-2009,,2008,1815,Auto,16853,26/01/2024,22892,22892,33018,1860,1998,1427,,Mid-Sized Sedan,17-Jan-2024
52,https://www.sgcarmart.com/used_cars/info.php?ID=1251377&DL=4140&utm_content=SLeligible,Toyota,85800,13550,29-Oct-2019,58000,2019,682,Auto,30286,26/01/2024,15573,15573,32309,2097,1496,1100,2,Mid-Sized Sedan,11-Jan-2024
53,https://www.sgcarmart.com/used_cars/info.php?ID=1265661&DL=3320,Honda,51800,15080,15-Feb-2017,95000,2016,684,Auto,22989,26/01/2024,16452,11452,50889,1104,1498,1046,1,Hatchback,22-Jan-2024
54,https://www.sgcarmart.com/used_cars/info.php?ID=1264363&DL=1177&utm_content=SLeligible,BMW,149000,20530,29-Apr-2011,173000,2010,5132,Auto,34340,26/01/2024,83120,83120,47316,2647,3999,1830,4,Sports Car,17-Jan-2024
55,https://www.sgcarmart.com/used_cars/info.php?ID=1255800&DL=4554&utm_content=SLeligible,Volkswagen,72800,9800,28-Mar-2012,120000,2012,744,Auto,33638,26/01/2024,29087,29087,45272,2709,1390,1503,,Sports Car,13-Dec-2023
56,https://www.sgcarmart.com/used_cars/info.php?ID=1247806&DL=3382&utm_content=SLeligible,Toyota,44998,14490,27-Jun-2016,197450,2016,742,Auto,25333,26/01/2024,19990,19990,55200,880,1598,1215,2,Mid-Sized Sedan,10-Nov-2023
57,https://www.sgcarmart.com/used_cars/info.php?ID=1249680&DL=4104&utm_content=SLeligible,Volkswagen,64288,17510,16-Jan-2017,110000,2016,624,Auto,29888,26/01/2024,26780,24492,51109,760,1395,1288,1,MPV,19-Jan-2024
58,https://www.sgcarmart.com/used_cars/info.php?ID=1264870&DL=2729,Kia,36800,12380,20-Jun-2016,118000,2016,738,Auto,21410,26/01/2024,14231,14231,53694,854,1591,1295,2,Mid-Sized Sedan,22-Jan-2024
59,https://www.sgcarmart.com/used_cars/info.php?ID=1250115&DL=4502&utm_content=SLeligible,Renault,136800,20000,16-Jan-2020,,2019,476,Auto,40755,26/01/2024,30425,34595,25020,1855,1798,1430,1,Sports Car,26-Jan-2024
